Title	Year	Rating	Runtime	Score	Votes	Famous	RatingGroup
Santa Baby	2006	PG	89	5.5	1771	TRUE	PG
Christmas on Repeat	2022	NA	89	5.5	148	FALSE	Other
The Christmas Sitters	2020	NA	80	5.4	205	FALSE	Other
Matchmaker Santa	2012	TV-G	75	6.5	2454	TRUE	G
Merry Liddle Christmas	2019	TV-G	87	5.8	594	FALSE	G
Winnie the Pooh: A Very Merry Pooh Year	2002	G	65	6.6	2688	TRUE	G
Christmas Perfection	2018	TV-PG	90	5.5	950	FALSE	PG
The Christmas Doctor	2020	TV-G	84	6.9	818	FALSE	G
Christmas on 5th Avenue	2021	NA	84	6.4	363	FALSE	Other
Christmas in the Highlands	2019	NA	84	4.8	735	FALSE	Other
A Christmas Star	2015	AL	82	5.1	1994	TRUE	Other
Christmas in the Air	2017	TV-G	84	6.2	1333	TRUE	G
Paper Angels	2014	Not Rated	90	6.6	662	FALSE	Other
The Christmas Cure	2017	TV-G	87	6.2	1562	TRUE	G
A Chance for Christmas	2021	TV-PG	92	5.8	439	FALSE	PG
Gingerbread Miracle	2021	NA	84	6.6	1066	FALSE	Other
Christmas on the Menu	2020	TV-PG	88	6.2	593	FALSE	PG
My Christmas Inn	2018	TV-G	100	5.5	2340	TRUE	G
Santa & Cie	2017	TV-PG	92	6.3	2695	TRUE	PG
Christmas Time	2017	TV-PG	90	5.9	470	FALSE	PG
A Christmas Carol	2012	NA	82	3.5	191	FALSE	Other
The Christmas Shepherd	2014	NA	84	6.7	1259	TRUE	Other
Mariah Carey's Magical Christmas Special	2020	TV-G	43	5.7	1419	TRUE	G
The Engagement Clause	2016	TV-PG	87	5.5	1282	TRUE	PG
A Christmas Exchange	2020	TV-PG	87	6	615	FALSE	PG
Chasing Christmas	2005	PG	81	5.1	839	FALSE	PG
Picture Perfect Royal Christmas	2020	NA	85	5.4	440	FALSE	Other
Journey to the Christmas Star	2012	G	80	5.7	1598	TRUE	G
Nantucket Noel	2021	TV-G	84	5.9	909	FALSE	G
The Christmas Ornament	2013	TV-G	83	6.7	2055	TRUE	G
On the Twelfth Day of Christmas	2015	TV-G	84	6.8	2101	TRUE	G
